#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	Patient_ASD977_S306_merged_profile	Patient_9_S304_merged_profile	Patient_7_S303_merged_profile	Patient_6_S302_merged_profile	Patient_5_S301_merged_profile	Patient_4_S300_merged_profile	Patient_3_S299_merged_profile	Patient_2_S298_merged_profile	Patient_1_S297_merged_profile	Patient_11_S305_merged_profile
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__Macrococcus_caseolyticus	2|1239|91061|1385|90964|69965|69966	0	0	0	0	0	0.16524	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.00796	0.39432	0.26202	22.10945	5.23513	35.81621	40.42491	0.13011	3.22704	38.97104
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0	0	0	0	0	0.01878	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium	2|1239|91061|186826|186828|2747	0	0	0	0	0	0.01878	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum	2|1239|91061|186826|186828|2747|2751	0	0	0	0	0	0.01878	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0	0	0	7.30626	0	34.42704	38.07672	0	0	15.16085
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	0	0	0	7.30626	0	34.42704	38.07672	0	0	15.16085
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium	2|1239|91061|186826|81852|1350|33945	0	0	0	0	0	0	0	0	0	7.87924
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus	2|1239|91061|186826|81852|1350|37734	0	0	0	0	0	0	1.9388	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_durans	2|1239|91061|186826|81852|1350|53345	0	0	0	0	0	0	0	0	0	7.28161
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	2|1239|91061|186826|81852|1350|1351	0	0	0	0.61049	0	0	1.74139	0	0	0
